question,choice_1,choice_2,choice_3,choice_4,year,field,internal,answer,grammer,vocab,old_system,reading_text
The writer of the passage tries to prove his main point in paragraph 2 by ...,providing an example,reporting an event that happened in his own life,saying that people who dislike eye contact are few in number,mentioning the various advantages of eye contact in ordinary people's daily life,91.0,0.0,1.0,1.0,,,,"Eye contact is a nonverbal technique that helps the speaker ""sell"" his or her ideas to an audience. Eye contact also helps hold listener interest. A successful speaker must try to have eye contact with an audience. To have a good relationship with listeners, a speaker should make direct eye contact for at least 75 percent of the time. Some speakers focus only on their notes. Others gaze over the heads of their listeners. Both are likely to lose audience interest and respect. People who make eye contact while speaking, whether from a podium or from across the table, are considered not only as exceptionally good at speaking by their target but also as more believable and serious. To show the power of eye contact in daily life, we have only to consider how people behave when they happen to look at each other on the street. At one extreme are those people who feel forced to smile when they make eye contact. At the other extreme are those who feel not relaxed and immediately look away. To make eye contact, it seems, is to make a certain link with someone."
He has recently bought a ... car.,white beautiful Japanese big,beautiful white big Japanese,beautiful big white Japanese,Japanese big beautiful white,91.0,1.0,1.0,3.0,1.0,,,
I kept him waiting for such a long time ... a,that he got so angry,to get him angry enough,because it got him very angry,for getting him too angry,91.0,1.0,1.0,1.0,1.0,,,
"I know it wasn't what you expected, but you ... so rude.",couldn't be,might not have been,must not have been,shouldn't have been,91.0,1.0,1.0,4.0,1.0,,,
I really felt ashamed of the impolite ... that my friend made at the other driver.,scene,gesture,hardship,embarrassment,91.0,1.0,1.0,2.0,1.0,,,
I ... to another seat because I couldn't see the film.,followed,removed,provided,switched,91.0,1.0,1.0,4.0,,1.0,,
The research done produced ... that surprised almost everyone.,results,pioneers,endeavors,impressions,91.0,1.0,1.0,1.0,,1.0,,
Few people are able to ... themselves fully to their career.,operate,devote,perform,transfer,91.0,1.0,1.0,2.0,,1.0,,
It is ... knowledge that swimming is one of the best forms of exercise.,serious,average,common,efficient,91.0,1.0,1.0,3.0,,1.0,,
He may die unless he is taken to hospital ... .,immediately,previously,necessarily,anxiously,91.0,1.0,1.0,1.0,,1.0,,
"I didn't want to take my kid to work, but he ... going with me.",passed on,insisted on,helped out,got away from,91.0,1.0,1.0,2.0,,1.0,,
"The Romans spoke of health in a proverb: ""A healthy mind in a healthy body."" In addition
to physical health, an/a (86) ... of mental health is important. Too much mental stress
can have a bad (87) ... on one's physical well-being. The human body is much more
(88) ... than any machine. Yet it needs less day-to-day care
(89) ... any machine. No machine can do all the things the body can do. No machine
will work for 70 years or more, day and night, requiring only air, water, food, and only
(90) ... simple rules. No machine has been made which can adjust to so many different
conditions as the human body.
",summarizing,succeeding,separating,understanding,91.0,1.0,1.0,4.0,,,,
"The Romans spoke of health in a proverb: ""A healthy mind in a healthy body."" In addition
to physical health, an/a (86) ... of mental health is important. Too much mental stress
can have a bad (87) ... on one's physical well-being. The human body is much more
(88) ... than any machine. Yet it needs less day-to-day care
(89) ... any machine. No machine can do all the things the body can do. No machine
will work for 70 years or more, day and night, requiring only air, water, food, and only
(90) ... simple rules. No machine has been made which can adjust to so many different
conditions as the human body.
",device,effect,stance,phase,91.0,1.0,1.0,2.0,,,,
"The Romans spoke of health in a proverb: ""A healthy mind in a healthy body."" In addition
to physical health, an/a (86) ... of mental health is important. Too much mental stress
can have a bad (87) ... on one's physical well-being. The human body is much more
(88) ... than any machine. Yet it needs less day-to-day care
(89) ... any machine. No machine can do all the things the body can do. No machine
will work for 70 years or more, day and night, requiring only air, water, food, and only
(90) ... simple rules. No machine has been made which can adjust to so many different
conditions as the human body.
",private,certain,complicated,repetitive,91.0,1.0,1.0,3.0,,,,
"The Romans spoke of health in a proverb: ""A healthy mind in a healthy body."" In addition
to physical health, an/a (86) ... of mental health is important. Too much mental stress
can have a bad (87) ... on one's physical well-being. The human body is much more
(88) ... than any machine. Yet it needs less day-to-day care
(89) ... any machine. No machine can do all the things the body can do. No machine
will work for 70 years or more, day and night, requiring only air, water, food, and only
(90) ... simple rules. No machine has been made which can adjust to so many different
conditions as the human body.
",than,from,with,of,91.0,1.0,1.0,1.0,,,,
"The Romans spoke of health in a proverb: ""A healthy mind in a healthy body."" In addition
to physical health, an/a (86) ... of mental health is important. Too much mental stress
can have a bad (87) ... on one's physical well-being. The human body is much more
(88) ... than any machine. Yet it needs less day-to-day care
(89) ... any machine. No machine can do all the things the body can do. No machine
will work for 70 years or more, day and night, requiring only air, water, food, and only
(90) ... simple rules. No machine has been made which can adjust to so many different
conditions as the human body.
",a little,little,afew,few,91.0,1.0,1.0,3.0,,,,
The passage is primarily written to ...,explain some rules,advertise something,make some suggestions,describe the function of a game,91.0,1.0,1.0,1.0,,,,"The game is played for four quarters of 15 minutes each or two halves of 20 minutes each. Playing time may be shortened for schools or for a series of matches played in one day. Two referees control the game, keep the score, and keep time except in internationals. To start the game, one of the centers passes the ball from the small center circle. This is called a center pass and is also used for restarting the game after a goal. One of the attacking teams (the team taking the center pass) must touch or receive the center pass within the center third. After that the ball is thrown from player to player until goal shooter or goal attack receives the ball in the shooting circle and tries to score. The players may not walk or run while the ball is in their possession, or hold it for more than three seconds. The ball may be thrown or bounced to another player but not rolled or kicked. A player may bounce or bat the ball once before catching it. The ball may be caught while it is in the air but a player may not take the ball out of another player's hands or contact (touch) her in any way. A player standing the correct distance away may block the movement of a player or the flight of the ball. The ball may not be thrown over a complete third of the court. If a player of one team sends the ball out of court, it is thrown in by one of the other team. When a rule is broken, either a free pass or a penalty pass is given to the other team."
When one of the centers passes the ball from the small center circle ...,the game actually begins,the game has to be repeated,an attack has been prevented,the referee should stop the game,91.0,1.0,1.0,1.0,,,,"The game is played for four quarters of 15 minutes each or two halves of 20 minutes each. Playing time may be shortened for schools or for a series of matches played in one day. Two referees control the game, keep the score, and keep time except in internationals. To start the game, one of the centers passes the ball from the small center circle. This is called a center pass and is also used for restarting the game after a goal. One of the attacking teams (the team taking the center pass) must touch or receive the center pass within the center third. After that the ball is thrown from player to player until goal shooter or goal attack receives the ball in the shooting circle and tries to score. The players may not walk or run while the ball is in their possession, or hold it for more than three seconds. The ball may be thrown or bounced to another player but not rolled or kicked. A player may bounce or bat the ball once before catching it. The ball may be caught while it is in the air but a player may not take the ball out of another player's hands or contact (touch) her in any way. A player standing the correct distance away may block the movement of a player or the flight of the ball. The ball may not be thrown over a complete third of the court. If a player of one team sends the ball out of court, it is thrown in by one of the other team. When a rule is broken, either a free pass or a penalty pass is given to the other team."
Which of the following is forbidden?,The ball thrown to another player but not kicked,A player running with the ball in his hands.,The ball thrown from player to player in the shooting circle.,The team in the center pass touching the center pass within the center third,91.0,1.0,1.0,2.0,,,,"The game is played for four quarters of 15 minutes each or two halves of 20 minutes each. Playing time may be shortened for schools or for a series of matches played in one day. Two referees control the game, keep the score, and keep time except in internationals. To start the game, one of the centers passes the ball from the small center circle. This is called a center pass and is also used for restarting the game after a goal. One of the attacking teams (the team taking the center pass) must touch or receive the center pass within the center third. After that the ball is thrown from player to player until goal shooter or goal attack receives the ball in the shooting circle and tries to score. The players may not walk or run while the ball is in their possession, or hold it for more than three seconds. The ball may be thrown or bounced to another player but not rolled or kicked. A player may bounce or bat the ball once before catching it. The ball may be caught while it is in the air but a player may not take the ball out of another player's hands or contact (touch) her in any way. A player standing the correct distance away may block the movement of a player or the flight of the ball. The ball may not be thrown over a complete third of the court. If a player of one team sends the ball out of court, it is thrown in by one of the other team. When a rule is broken, either a free pass or a penalty pass is given to the other team."
How long are the players on the court playing the game?,55 minutes,35 minutes,80 minutes,60 minutes,91.0,1.0,1.0,4.0,,,,"The game is played for four quarters of 15 minutes each or two halves of 20 minutes each. Playing time may be shortened for schools or for a series of matches played in one day. Two referees control the game, keep the score, and keep time except in internationals. To start the game, one of the centers passes the ball from the small center circle. This is called a center pass and is also used for restarting the game after a goal. One of the attacking teams (the team taking the center pass) must touch or receive the center pass within the center third. After that the ball is thrown from player to player until goal shooter or goal attack receives the ball in the shooting circle and tries to score. The players may not walk or run while the ball is in their possession, or hold it for more than three seconds. The ball may be thrown or bounced to another player but not rolled or kicked. A player may bounce or bat the ball once before catching it. The ball may be caught while it is in the air but a player may not take the ball out of another player's hands or contact (touch) her in any way. A player standing the correct distance away may block the movement of a player or the flight of the ball. The ball may not be thrown over a complete third of the court. If a player of one team sends the ball out of court, it is thrown in by one of the other team. When a rule is broken, either a free pass or a penalty pass is given to the other team."
What happens after a goal is scored?,A player may send the ball out of court.,The ball is bounced to the goal shooter.,The ball is passed from the small center circle.,The team taking the center pass receives the center pass within the center third.,91.0,1.0,1.0,3.0,,,,"The game is played for four quarters of 15 minutes each or two halves of 20 minutes each. Playing time may be shortened for schools or for a series of matches played in one day. Two referees control the game, keep the score, and keep time except in internationals. To start the game, one of the centers passes the ball from the small center circle. This is called a center pass and is also used for restarting the game after a goal. One of the attacking teams (the team taking the center pass) must touch or receive the center pass within the center third. After that the ball is thrown from player to player until goal shooter or goal attack receives the ball in the shooting circle and tries to score. The players may not walk or run while the ball is in their possession, or hold it for more than three seconds. The ball may be thrown or bounced to another player but not rolled or kicked. A player may bounce or bat the ball once before catching it. The ball may be caught while it is in the air but a player may not take the ball out of another player's hands or contact (touch) her in any way. A player standing the correct distance away may block the movement of a player or the flight of the ball. The ball may not be thrown over a complete third of the court. If a player of one team sends the ball out of court, it is thrown in by one of the other team. When a rule is broken, either a free pass or a penalty pass is given to the other team."
What does the passage mainly discuss?,Going to public places with your kid can give a chance to make him/her learn new things.,A good education of kids by parents is not an easy thing to do and takes a lot of time and patience,Children learn new things more by doing than listening to someone talking about good behavior,Quick punishment is necessary if you see your child breaks rules of behavior in public places.,91.0,1.0,1.0,1.0,,,,"Ask your child to get groceries for you or place them in the basket. Give your child educational instructions, such as ""Get me the green can, please,"" or ""Bring me the bag of rice, please."" Don't forget to say ""please"" and ""thank you,"" when appropriate. Involve your child in a friendly chat about what you're doing. For example, you might say, ""We're going to make sandwiches with this hamburger meat. You really like sandwiches, don't you?"" This is also a good time to educate your kid. For example, ""Bananas grow on trees. What else can you think of that grows on trees?"" or ""All fruits have a skin or cover on them to protect them from rain and bugs."" By your frequent physical contact, praise, teaching, and pleasant conversation, your child will remain much more interested in the trip. By actually helping you, he will learn that stores are a fun place to visit. If your child breaks one of your rules, immediately make him sit in ""time-out."" This can be any place that is generally out of the normal flow of foot traffic. In a grocery store, you can just point to one of the tile floor squares and firmly tell your child to sit on that square because he walked away from you. In a restaurant, you can simply turn your child's chair around. If the restaurant is not very crowded, you can place your child on another chair about 3 to 4 feet away from you. As soon as your child is quiet for about half a minute, tell him that it is okay to get up or to turn his chair back to the table."
Which of the following best states the topic of paragraph 1?,Involve your child in the activity as much as possible.,Teach your child about this world.,Teach your child to behave correctly.,Make your child obey the rules.,91.0,1.0,1.0,1.0,,,,"Ask your child to get groceries for you or place them in the basket. Give your child educational instructions, such as ""Get me the green can, please,"" or ""Bring me the bag of rice, please."" Don't forget to say ""please"" and ""thank you,"" when appropriate. Involve your child in a friendly chat about what you're doing. For example, you might say, ""We're going to make sandwiches with this hamburger meat. You really like sandwiches, don't you?"" This is also a good time to educate your kid. For example, ""Bananas grow on trees. What else can you think of that grows on trees?"" or ""All fruits have a skin or cover on them to protect them from rain and bugs."" By your frequent physical contact, praise, teaching, and pleasant conversation, your child will remain much more interested in the trip. By actually helping you, he will learn that stores are a fun place to visit. If your child breaks one of your rules, immediately make him sit in ""time-out."" This can be any place that is generally out of the normal flow of foot traffic. In a grocery store, you can just point to one of the tile floor squares and firmly tell your child to sit on that square because he walked away from you. In a restaurant, you can simply turn your child's chair around. If the restaurant is not very crowded, you can place your child on another chair about 3 to 4 feet away from you. As soon as your child is quiet for about half a minute, tell him that it is okay to get up or to turn his chair back to the table."
"The statement in paragraph 3 ""Bananas grow on trees. What else can you think of that grows on trees?"" is intended ... .",as an example to support the main point of the paragraph,to show that children are thirsty for knowledge and you should consider this need,to emphasize the fact that the questions you ask your children should be related to their immediate needs,as a means to help enhance the education they receive at school,91.0,1.0,1.0,1.0,,,,"Ask your child to get groceries for you or place them in the basket. Give your child educational instructions, such as ""Get me the green can, please,"" or ""Bring me the bag of rice, please."" Don't forget to say ""please"" and ""thank you,"" when appropriate. Involve your child in a friendly chat about what you're doing. For example, you might say, ""We're going to make sandwiches with this hamburger meat. You really like sandwiches, don't you?"" This is also a good time to educate your kid. For example, ""Bananas grow on trees. What else can you think of that grows on trees?"" or ""All fruits have a skin or cover on them to protect them from rain and bugs."" By your frequent physical contact, praise, teaching, and pleasant conversation, your child will remain much more interested in the trip. By actually helping you, he will learn that stores are a fun place to visit. If your child breaks one of your rules, immediately make him sit in ""time-out."" This can be any place that is generally out of the normal flow of foot traffic. In a grocery store, you can just point to one of the tile floor squares and firmly tell your child to sit on that square because he walked away from you. In a restaurant, you can simply turn your child's chair around. If the restaurant is not very crowded, you can place your child on another chair about 3 to 4 feet away from you. As soon as your child is quiet for about half a minute, tell him that it is okay to get up or to turn his chair back to the table."
"The word ""them"" in paragraph 3 refers to ... .",trees,skins,bananas,fruits,91.0,1.0,1.0,4.0,,,,"Ask your child to get groceries for you or place them in the basket. Give your child educational instructions, such as ""Get me the green can, please,"" or ""Bring me the bag of rice, please."" Don't forget to say ""please"" and ""thank you,"" when appropriate. Involve your child in a friendly chat about what you're doing. For example, you might say, ""We're going to make sandwiches with this hamburger meat. You really like sandwiches, don't you?"" This is also a good time to educate your kid. For example, ""Bananas grow on trees. What else can you think of that grows on trees?"" or ""All fruits have a skin or cover on them to protect them from rain and bugs."" By your frequent physical contact, praise, teaching, and pleasant conversation, your child will remain much more interested in the trip. By actually helping you, he will learn that stores are a fun place to visit. If your child breaks one of your rules, immediately make him sit in ""time-out."" This can be any place that is generally out of the normal flow of foot traffic. In a grocery store, you can just point to one of the tile floor squares and firmly tell your child to sit on that square because he walked away from you. In a restaurant, you can simply turn your child's chair around. If the restaurant is not very crowded, you can place your child on another chair about 3 to 4 feet away from you. As soon as your child is quiet for about half a minute, tell him that it is okay to get up or to turn his chair back to the table."
"According to the passage, if you are in a store and your kid fails to follow your rules, you should ... .",just make the kid walk away from you,have the kid follow you at a distance of 3 to 4 feet,make him sit down somewhere out of people' way as a kind of punishment,ask the kid to sit on a chair not very far away from you in a place where there are not many people walking,91.0,1.0,1.0,3.0,,,,"Ask your child to get groceries for you or place them in the basket. Give your child educational instructions, such as ""Get me the green can, please,"" or ""Bring me the bag of rice, please."" Don't forget to say ""please"" and ""thank you,"" when appropriate. Involve your child in a friendly chat about what you're doing. For example, you might say, ""We're going to make sandwiches with this hamburger meat. You really like sandwiches, don't you?"" This is also a good time to educate your kid. For example, ""Bananas grow on trees. What else can you think of that grows on trees?"" or ""All fruits have a skin or cover on them to protect them from rain and bugs."" By your frequent physical contact, praise, teaching, and pleasant conversation, your child will remain much more interested in the trip. By actually helping you, he will learn that stores are a fun place to visit. If your child breaks one of your rules, immediately make him sit in ""time-out."" This can be any place that is generally out of the normal flow of foot traffic. In a grocery store, you can just point to one of the tile floor squares and firmly tell your child to sit on that square because he walked away from you. In a restaurant, you can simply turn your child's chair around. If the restaurant is not very crowded, you can place your child on another chair about 3 to 4 feet away from you. As soon as your child is quiet for about half a minute, tell him that it is okay to get up or to turn his chair back to the table."
It would cost a lot to rebuild the houses ... in the earthquake that happened a week ago.,destroyed,were destroyed,which destroyed,they were destroyed,91.0,3.0,1.0,1.0,1.0,,,
"Fortunately, the storm was not strong enough ... any serious damage to the town.",to cause,it didn't cause,that didn't cause,to be caused,91.0,3.0,1.0,1.0,1.0,,,
A: Mary fell asleep in the class this morning.B: She ... up too late last night.,must stay,should stay,should have stayed,must have stayed,91.0,3.0,1.0,4.0,1.0,,,
"He is a very good man, always working hard to help those many poor people living in the ... of the city.",outlines,slums,convents,sufferings,91.0,3.0,1.0,2.0,,1.0,,
I need to ... a day off to rest a little bit at home.,let,put,take,give,91.0,3.0,1.0,3.0,,1.0,,
Anna left Germany in the ... of seeing her family again before they would go away.,gesture,concern,confidence,expectation,91.0,3.0,1.0,4.0,,1.0,,
"It was no surprise that she wasn't able to ... me at first; after all, we hadn't met eachother for a long time.",observe,imagine,recognize,speculate,91.0,3.0,1.0,3.0,,1.0,,
A: How many scientists took part in the conference?B: ... 50 ones.,Mostly,Nearly,Primarily,Immediately,91.0,3.0,1.0,2.0,,1.0,,
"The teacher didn't answer the student's question, as she thought it was ... the topic.",aware of,irrelevant to,specific to,interchangeable with,91.0,3.0,1.0,2.0,,1.0,,
After the accident it was a long time before he returned to his ... mental state.,former,useless,similar,personal,91.0,3.0,1.0,1.0,,1.0,,
"Health can be thought of as the condition of being fit and well. The World Health Organization
(WHO), the UN agency that is (86) ... with health care throughout the world, gives a more
precise (87) ... . It says that health is the state of (88) ... physical, mental, and social
well-being, and not merely the absence of disease and weakness. In a poor country, however, health
might mean simply getting enough food to stay alive and avoiding the (89) ... serious
diseases such as typhoid and cholera. As countries grow richer they (90) ... the WHO's more
positive standard of good health, because their people can afford better food and medical care.
",accepted,stretched,consisted,concerned,91.0,3.0,1.0,4.0,,,,
"Health can be thought of as the condition of being fit and well. The World Health Organization
(WHO), the UN agency that is (86) ... with health care throughout the world, gives a more
precise (87) ... . It says that health is the state of (88) ... physical, mental, and social
well-being, and not merely the absence of disease and weakness. In a poor country, however, health
might mean simply getting enough food to stay alive and avoiding the (89) ... serious
diseases such as typhoid and cholera. As countries grow richer they (90) ... the WHO's more
positive standard of good health, because their people can afford better food and medical care.
",instance,sample,definition,prediction,91.0,3.0,1.0,3.0,,,,
"Health can be thought of as the condition of being fit and well. The World Health Organization
(WHO), the UN agency that is (86) ... with health care throughout the world, gives a more
precise (87) ... . It says that health is the state of (88) ... physical, mental, and social
well-being, and not merely the absence of disease and weakness. In a poor country, however, health
might mean simply getting enough food to stay alive and avoiding the (89) ... serious
diseases such as typhoid and cholera. As countries grow richer they (90) ... the WHO's more
positive standard of good health, because their people can afford better food and medical care.
",complete,straight,positive,probable,91.0,3.0,1.0,1.0,,,,
"Health can be thought of as the condition of being fit and well. The World Health Organization
(WHO), the UN agency that is (86) ... with health care throughout the world, gives a more
precise (87) ... . It says that health is the state of (88) ... physical, mental, and social
well-being, and not merely the absence of disease and weakness. In a poor country, however, health
might mean simply getting enough food to stay alive and avoiding the (89) ... serious
diseases such as typhoid and cholera. As countries grow richer they (90) ... the WHO's more
positive standard of good health, because their people can afford better food and medical care.
",firmly,really,directly,actively,91.0,3.0,1.0,2.0,,,,
"Health can be thought of as the condition of being fit and well. The World Health Organization
(WHO), the UN agency that is (86) ... with health care throughout the world, gives a more
precise (87) ... . It says that health is the state of (88) ... physical, mental, and social
well-being, and not merely the absence of disease and weakness. In a poor country, however, health
might mean simply getting enough food to stay alive and avoiding the (89) ... serious
diseases such as typhoid and cholera. As countries grow richer they (90) ... the WHO's more
positive standard of good health, because their people can afford better food and medical care.
",devote,operate,survive,achieve,91.0,3.0,1.0,4.0,,,,
What is the best title for the passage?,"""Where to Go on a Trip""","""Road Trip Ideas for Family""","""Protection during a Long Travel""","""Advantage of Travel for Children""",91.0,3.0,1.0,2.0,,,,"Choose a place you want to go to in a way that the whole family will enjoy. Children lose interest much faster than adults, so when choosing, keep your young ones in mind and make sure there are activities that will keep them busy and interested. Going on a long road trip with your kids can be quite stressful if you're not prepared to deal with the short attention span of kids. Take coloring books, toys, video games, CDs that have audio for children, food and water to last the journey and other things you would consider a necessity for your family. Make sure your family is protected; use seatbelts and child secure seats for children in the backseat; they have been proven to keep kids safe if you run into some trouble on the road. If you plan on going camping, remember to carry a first aid kit with the essentials. If you are heading to a place that has been recommended by a friend or from other travel sources and are not sure of how to get there, keep a map of the geographic area in hand, it could also be an answer to the most common question from your kid - ""Are we there yet?"" When on a long trip, it is safer to carry sandwiches, fruits, and bottles of water enough for the entire family. Remember to carry a garbage bag so that you don't have to litter the road; it will also reduce the stops you have to make on the journey, reserving the stops to use the restroom and to stretch your legs."
"According to the passage, if you see your kids painting a picture in the car during a trip instead of looking at the natural views you ...",may get very stressful,should not get surprised,have to stop the car so that they can relax,must try to get them involved in other activities,91.0,3.0,1.0,2.0,,,,"Choose a place you want to go to in a way that the whole family will enjoy. Children lose interest much faster than adults, so when choosing, keep your young ones in mind and make sure there are activities that will keep them busy and interested. Going on a long road trip with your kids can be quite stressful if you're not prepared to deal with the short attention span of kids. Take coloring books, toys, video games, CDs that have audio for children, food and water to last the journey and other things you would consider a necessity for your family. Make sure your family is protected; use seatbelts and child secure seats for children in the backseat; they have been proven to keep kids safe if you run into some trouble on the road. If you plan on going camping, remember to carry a first aid kit with the essentials. If you are heading to a place that has been recommended by a friend or from other travel sources and are not sure of how to get there, keep a map of the geographic area in hand, it could also be an answer to the most common question from your kid - ""Are we there yet?"" When on a long trip, it is safer to carry sandwiches, fruits, and bottles of water enough for the entire family. Remember to carry a garbage bag so that you don't have to litter the road; it will also reduce the stops you have to make on the journey, reserving the stops to use the restroom and to stretch your legs."
You are advised to take a first aid kit with you ...,if you are going camping,because children may get sick easily,because roads are not completely safe,to help those who may be injured in car accidents,91.0,3.0,1.0,1.0,,,,"Choose a place you want to go to in a way that the whole family will enjoy. Children lose interest much faster than adults, so when choosing, keep your young ones in mind and make sure there are activities that will keep them busy and interested. Going on a long road trip with your kids can be quite stressful if you're not prepared to deal with the short attention span of kids. Take coloring books, toys, video games, CDs that have audio for children, food and water to last the journey and other things you would consider a necessity for your family. Make sure your family is protected; use seatbelts and child secure seats for children in the backseat; they have been proven to keep kids safe if you run into some trouble on the road. If you plan on going camping, remember to carry a first aid kit with the essentials. If you are heading to a place that has been recommended by a friend or from other travel sources and are not sure of how to get there, keep a map of the geographic area in hand, it could also be an answer to the most common question from your kid - ""Are we there yet?"" When on a long trip, it is safer to carry sandwiches, fruits, and bottles of water enough for the entire family. Remember to carry a garbage bag so that you don't have to litter the road; it will also reduce the stops you have to make on the journey, reserving the stops to use the restroom and to stretch your legs."
"According to the passage, the question, ''Are we there yet?"" is one that ...",people ask when they lose their way,shows the great interest of children in traveling,children ask very often on the way to a place,shows children cannot concentrate on one thing for a long time,91.0,3.0,1.0,3.0,,,,"Choose a place you want to go to in a way that the whole family will enjoy. Children lose interest much faster than adults, so when choosing, keep your young ones in mind and make sure there are activities that will keep them busy and interested. Going on a long road trip with your kids can be quite stressful if you're not prepared to deal with the short attention span of kids. Take coloring books, toys, video games, CDs that have audio for children, food and water to last the journey and other things you would consider a necessity for your family. Make sure your family is protected; use seatbelts and child secure seats for children in the backseat; they have been proven to keep kids safe if you run into some trouble on the road. If you plan on going camping, remember to carry a first aid kit with the essentials. If you are heading to a place that has been recommended by a friend or from other travel sources and are not sure of how to get there, keep a map of the geographic area in hand, it could also be an answer to the most common question from your kid - ""Are we there yet?"" When on a long trip, it is safer to carry sandwiches, fruits, and bottles of water enough for the entire family. Remember to carry a garbage bag so that you don't have to litter the road; it will also reduce the stops you have to make on the journey, reserving the stops to use the restroom and to stretch your legs."
"According to the last paragraph, on a long trip, you ... .",are not as safe as you are on a short trip,can't do anything special to reduce the number of stops,may not find many restaurants on the way,are not to throw away unwanted things on the road,91.0,3.0,1.0,4.0,,,,"Choose a place you want to go to in a way that the whole family will enjoy. Children lose interest much faster than adults, so when choosing, keep your young ones in mind and make sure there are activities that will keep them busy and interested. Going on a long road trip with your kids can be quite stressful if you're not prepared to deal with the short attention span of kids. Take coloring books, toys, video games, CDs that have audio for children, food and water to last the journey and other things you would consider a necessity for your family. Make sure your family is protected; use seatbelts and child secure seats for children in the backseat; they have been proven to keep kids safe if you run into some trouble on the road. If you plan on going camping, remember to carry a first aid kit with the essentials. If you are heading to a place that has been recommended by a friend or from other travel sources and are not sure of how to get there, keep a map of the geographic area in hand, it could also be an answer to the most common question from your kid - ""Are we there yet?"" When on a long trip, it is safer to carry sandwiches, fruits, and bottles of water enough for the entire family. Remember to carry a garbage bag so that you don't have to litter the road; it will also reduce the stops you have to make on the journey, reserving the stops to use the restroom and to stretch your legs."
What does the passage mainly discuss?,The way to slow down this process of aging,What organs in the human body are more affected by old age,The relationship between age and some changes in the human body,What makes the human body less able to protect itself against disease,91.0,3.0,1.0,3.0,,,,"Several general changes occur in the human body as it ages: hearing and vision become weak, muscle strength becomes less, soft tissues such as skin and blood vessels become less flexible, and there is a general decrease in body power. Most of the body's organs perform less efficiently with advancing age. For example, the average amount of blood pumped by the heart drops from about 6.9 liters (7.3 quarts) per minute at age 20 to only 3.5 liters (3.7 quarts) pumped per minute at age 85. For this same age range, the average amount of blood flowing through the kidneys drops from about 0.6 liters (0.6 quarts) per minute to 0.3 liters (0.3 quarts). Not all people experience decreased organ function to the same degree - some individuals have healthier hearts and kidneys at age 85 than others do at age 50. The immune system also changes with age. A healthy immune system protects the body against bacteria, viruses, and other harmful agents by producing disease-fighting proteins known as antibodies. A healthy immune system also prevents the growth of abnormal cells, which can become cancerous. With advancing age, the ability of the immune system to perform these protective functions is decreased - the rate of antibody production may decrease by as much as 80 percent between age 20 and age 85. This less effective immune system explains why an attack of influenza, which may make a young adult sick for a few days, can be deadly for an old person. Thus, it is as good for an older person to be vaccinated against the flu and pneumonia as it is for young people to be vaccinated against childhood diseases."
What is discussed as an example in paragraph 2 is true for,the majority of people,everyone that becomes old,people between 50 to 85 years of age,people who are not lucky enough to remain healthy despite old age,91.0,3.0,1.0,1.0,,,,"Several general changes occur in the human body as it ages: hearing and vision become weak, muscle strength becomes less, soft tissues such as skin and blood vessels become less flexible, and there is a general decrease in body power. Most of the body's organs perform less efficiently with advancing age. For example, the average amount of blood pumped by the heart drops from about 6.9 liters (7.3 quarts) per minute at age 20 to only 3.5 liters (3.7 quarts) pumped per minute at age 85. For this same age range, the average amount of blood flowing through the kidneys drops from about 0.6 liters (0.6 quarts) per minute to 0.3 liters (0.3 quarts). Not all people experience decreased organ function to the same degree - some individuals have healthier hearts and kidneys at age 85 than others do at age 50. The immune system also changes with age. A healthy immune system protects the body against bacteria, viruses, and other harmful agents by producing disease-fighting proteins known as antibodies. A healthy immune system also prevents the growth of abnormal cells, which can become cancerous. With advancing age, the ability of the immune system to perform these protective functions is decreased - the rate of antibody production may decrease by as much as 80 percent between age 20 and age 85. This less effective immune system explains why an attack of influenza, which may make a young adult sick for a few days, can be deadly for an old person. Thus, it is as good for an older person to be vaccinated against the flu and pneumonia as it is for young people to be vaccinated against childhood diseases."
Which one of the following is true about paragraph 3?,It provides further evidence to support the main point of the passage.,It mentions a reason to explain the problems referred to in paragraph 2.,it somehow modifies the general idea of the passage by including new facts.,"It brings in new facts, raising doubts about the main point supported by the first two paragraphs.",91.0,3.0,1.0,1.0,,,,"Several general changes occur in the human body as it ages: hearing and vision become weak, muscle strength becomes less, soft tissues such as skin and blood vessels become less flexible, and there is a general decrease in body power. Most of the body's organs perform less efficiently with advancing age. For example, the average amount of blood pumped by the heart drops from about 6.9 liters (7.3 quarts) per minute at age 20 to only 3.5 liters (3.7 quarts) pumped per minute at age 85. For this same age range, the average amount of blood flowing through the kidneys drops from about 0.6 liters (0.6 quarts) per minute to 0.3 liters (0.3 quarts). Not all people experience decreased organ function to the same degree - some individuals have healthier hearts and kidneys at age 85 than others do at age 50. The immune system also changes with age. A healthy immune system protects the body against bacteria, viruses, and other harmful agents by producing disease-fighting proteins known as antibodies. A healthy immune system also prevents the growth of abnormal cells, which can become cancerous. With advancing age, the ability of the immune system to perform these protective functions is decreased - the rate of antibody production may decrease by as much as 80 percent between age 20 and age 85. This less effective immune system explains why an attack of influenza, which may make a young adult sick for a few days, can be deadly for an old person. Thus, it is as good for an older person to be vaccinated against the flu and pneumonia as it is for young people to be vaccinated against childhood diseases."
